,Reversal
812,2
813,2
814,2
815,2
816,2
817,0
818,2
819,2
820,2
821,0
822,0
823,0
824,1
825,1
826,1
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,2
858,0
859,2
860,2
861,2
862,2
863,2
864,2
865,2
866,2
867,0
868,0
869,2
870,2
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,2
879,2
880,2
881,2
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,2
909,2
910,2
911,0
912,2
913,0
914,0
915,0
916,0
917,2
918,2
919,0
920,0
921,0
922,1
923,1
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,1
946,1
947,1
948,0
949,1
950,1
951,1
952,1
953,2
954,0
955,0
956,1
957,1
958,1
959,0
960,0
961,0
962,0
963,0
964,2
965,2
966,2
967,2
968,2
969,2
970,2
971,2
972,2
973,2
974,2
975,2
976,2
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,1
986,1
987,1
988,1
989,0
990,0
991,1
992,1
993,1
994,1
995,1
996,0
997,1
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,1
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,1
1024,1
1025,0
1026,0
1027,0
1028,1
1029,1
1030,0
1031,1
1032,1
1033,1
1034,1
1035,1
1036,0
1037,1
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,2
1045,2
1046,2
1047,0
1048,2
1049,2
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,2
1067,2
1068,0
1069,0
1070,0
1071,2
1072,2
1073,2
1074,0
1075,2
1076,2
1077,2
1078,2
1079,0
1080,0
1081,2
1082,2
1083,2
1084,2
1085,2
1086,2
1087,0
1088,0
1089,0
1090,0
1091,1
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,2
1137,2
1138,2
1139,2
1140,2
1141,2
1142,0
1143,0
1144,0
1145,2
1146,2
1147,2
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,2
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,1
1176,0
1177,1
1178,1
1179,0
1180,0
1181,1
1182,0
1183,0
1184,0
1185,0
1186,0
1187,1
1188,1
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,2
1198,2
1199,2
1200,0
1201,0
1202,2
1203,2
1204,2
1205,2
1206,2
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,1
1214,1
1215,0
1216,0
1217,0
1218,1
1219,1
1220,1
1221,1
1222,0
1223,0
1224,0
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,1
1232,1
1233,0
1234,0
1235,0
1236,0
1237,0
1238,2
1239,2
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,1
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,1
1258,1
1259,1
1260,0
1261,0
1262,1
1263,1
1264,1
1265,1
1266,1
1267,1
1268,1
1269,0
1270,0
1271,0
1272,2
1273,2
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,2
1282,2
1283,2
1284,2
1285,2
1286,2
1287,2
1288,2
1289,2
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,1
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,2
1315,2
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,1
1327,1
1328,0
1329,1
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,2
1350,2
1351,2
1352,0
1353,0
1354,2
1355,0
1356,2
1357,2
1358,2
1359,2
1360,0
1361,2
1362,2
1363,2
1364,2
1365,2
1366,2
1367,0
1368,1
1369,1
1370,0
1371,1
1372,0
1373,0
1374,0
1375,2
1376,2
1377,2
1378,2
1379,2
1380,2
1381,2
1382,0
1383,0
1384,0
1385,2
1386,2
1387,2
1388,2
1389,2
1390,0
1391,0
1392,2
1393,1
1394,0
1395,0
1396,2
1397,0
1398,2
1399,2
1400,2
1401,2
1402,0
1403,0
1404,0
1405,2
1406,2
1407,2
1408,2
1409,2
1410,0
1411,0
1412,0
1413,2
1414,2
1415,0
1416,0
1417,2
1418,0
1419,2
1420,2
1421,2
1422,1
1423,1
1424,0
1425,2
1426,0
1427,1
1428,1
1429,1
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,2
1437,2
1438,2
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,2
1450,2
1451,2
1452,2
1453,0
1454,2
1455,2
1456,2
1457,2
1458,2
1459,2
1460,2
1461,2
1462,0
1463,2
1464,2
1465,2
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,2
1473,2
1474,2
1475,2
1476,2
1477,2
1478,2
1479,0
1480,2
1481,0
1482,2
1483,2
1484,2
1485,2
1486,2
1487,0
1488,1
1489,1
1490,0
1491,2
1492,0
1493,0
1494,0
1495,1
1496,0
1497,1
1498,0
1499,0
1500,0
1501,0
1502,0
1503,2
1504,2
1505,2
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,1
1521,0
1522,1
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,2
1535,2
1536,0
1537,2
1538,0
1539,2
1540,2
1541,2
1542,2
1543,0
1544,0
1545,2
1546,2
1547,2
1548,0
1549,2
1550,2
1551,2
1552,0
1553,0
1554,0
1555,0
1556,2
1557,2
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,2
1575,2
1576,0
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,1
1586,1
1587,0
1588,0
1589,1
1590,1
1591,1
1592,1
1593,0
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,1
1603,1
1604,1
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,1
1612,0
1613,1
1614,0
1615,2
1616,2
1617,2
1618,0
1619,0
1620,0
1621,0
1622,1
1623,1
1624,0
1625,1
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,1
1639,1
1640,1
1641,1
1642,1
1643,1
1644,1
1645,0
1646,1
1647,1
1648,1
1649,0
1650,0
1651,0
1652,0
1653,1
1654,1
1655,1
1656,1
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,2
1671,2
1672,2
1673,2
1674,0
1675,2
1676,0
1677,2
1678,2
1679,2
1680,2
1681,2
1682,2
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,1
1708,0
1709,0
1710,0
1711,0
1712,0
1713,2
1714,2
1715,2
1716,2
1717,2
1718,2
1719,0
1720,0
1721,0
1722,0
1723,2
1724,2
1725,2
1726,0
1727,2
1728,2
1729,0
1730,0
1731,0
1732,2
1733,2
1734,2
1735,0
1736,0
1737,1
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,2
1750,2
1751,2
1752,2
1753,2
1754,2
1755,2
1756,2
1757,2
1758,2
1759,2
1760,2
1761,2
1762,2
1763,2
1764,2
1765,0
1766,2
1767,2
1768,2
1769,0
1770,2
1771,2
1772,1
1773,2
1774,2
1775,0
1776,0
1777,2
1778,2
1779,0
1780,0
1781,2
1782,0
1783,0
1784,1
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,2
1792,0
1793,0
1794,2
1795,2
1796,0
1797,0
1798,0
1799,2
1800,2
1801,2
1802,2
1803,2
1804,2
1805,2
1806,2
1807,2
1808,2
1809,0
1810,2
1811,2
1812,0
1813,0
1814,1
1815,1
1816,1
1817,0
1818,0
1819,0
1820,1
1821,1
1822,1
1823,0
1824,0
1825,1
1826,1
1827,1
1828,1
1829,0
1830,0
1831,0
1832,0
1833,1
1834,1
1835,1
1836,1
1837,0
1838,0
1839,0
1840,0
1841,0
1842,0
1843,2
1844,0
1845,2
1846,2
1847,2
1848,2
1849,2
1850,2
1851,0
1852,0
1853,2
1854,2
1855,2
1856,0
1857,0
1858,0
1859,0
1860,0
1861,2
1862,0
1863,0
1864,0
1865,0
1866,0
1867,1
1868,1
1869,0
1870,1
1871,1
1872,1
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,2
1880,2
1881,2
1882,0
1883,0
1884,0
1885,0
1886,1
1887,1
1888,1
1889,1
1890,2
1891,2
1892,1
1893,0
1894,1
1895,0
1896,1
1897,0
1898,0
1899,0
1900,0
1901,2
1902,0
1903,0
1904,2
1905,2
1906,2
1907,2
1908,2
1909,0
1910,0
1911,0
1912,0
1913,2
1914,2
1915,2
1916,2
1917,2
1918,0
1919,0
1920,2
1921,0
1922,0
1923,1
1924,1
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,1
1937,0
1938,0
1939,0
1940,0
1941,0
1942,2
1943,2
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,1
1958,1
1959,1
1960,1
1961,1
1962,1
1963,0
1964,0
1965,0
1966,0
1967,0
1968,2
1969,2
1970,0
1971,0
1972,1
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,2
1985,0
1986,2
1987,2
1988,2
1989,2
1990,2
1991,2
1992,2
1993,2
1994,2
1995,2
1996,2
1997,2
1998,2
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,1
2014,1
2015,0
2016,0
2017,1
2018,1
2019,1
2020,1
2021,0
2022,1
2023,1
2024,1
2025,1
2026,1
2027,0
2028,0
2029,2
2030,2
2031,0
2032,0
2033,2
2034,2
2035,2
2036,2
2037,2
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,1
2048,1
2049,0
2050,0
2051,2
2052,2
2053,2
2054,0
2055,0
2056,1
2057,0
2058,1
2059,1
2060,0
2061,1
2062,1
2063,1
2064,1
2065,1
2066,1
2067,1
2068,1
2069,0
2070,1
2071,0
2072,0
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,1
2090,0
2091,0
2092,0
2093,1
2094,1
2095,1
2096,1
2097,1
2098,0
2099,0
2100,0
2101,1
2102,1
2103,1
2104,1
2105,1
2106,1
2107,1
2108,1
2109,1
2110,1
2111,1
2112,1
2113,0
2114,0
2115,0
2116,0
2117,1
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,0
2128,1
2129,1
2130,1
2131,1
2132,1
2133,0
2134,0
2135,0
2136,1
2137,0
2138,0
2139,0
2140,0
2141,0
2142,2
2143,2
2144,2
2145,2
2146,2
2147,2
2148,0
2149,0
2150,0
2151,0
2152,0
2153,0
2154,0
2155,0
2156,0
2157,0
2158,2
2159,2
2160,2
2161,2
2162,2
2163,0
2164,0
2165,2
2166,0
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2179,0
2180,0
2181,0
2182,2
2183,2
2184,2
2185,2
2186,2
2187,2
2188,2
2189,2
2190,2
2191,2
2192,2
2193,2
2194,2
2195,0
2196,0
2197,0
2198,0
2199,0
2200,1
2201,0
2202,1
2203,1
2204,1
2205,0
2206,1
2207,0
2208,1
2209,0
2210,2
2211,2
2212,2
2213,2
2214,0
2215,2
2216,2
2217,2
2218,2
2219,2
2220,2
2221,2
2222,0
2223,2
2224,2
2225,2
2226,2
2227,0
2228,0
2229,2
2230,2
2231,0
2232,0
2233,0
2234,1
2235,1
2236,0
2237,0
2238,2
2239,2
2240,0
2241,2
2242,0
2243,1
2244,1
2245,0
2246,2
2247,0
2248,1
2249,0
2250,0
2251,1
2252,1
2253,1
2254,1
2255,0
2256,0
2257,0
2258,1
2259,0
2260,1
2261,1
2262,1
2263,0
2264,0
2265,1
2266,1
2267,1
2268,1
2269,1
2270,1
2271,1
2272,1
2273,1
2274,0
2275,1
2276,0
2277,0
2278,1
2279,1
2280,0
2281,0
2282,0
2283,2
2284,2
2285,2
2286,0
2287,0
2288,2
2289,2
2290,2
2291,2
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,2
2300,2
2301,2
2302,0
2303,0
2304,0
2305,1
2306,0
2307,0
2308,1
2309,1
2310,1
2311,1
2312,1
2313,0
2314,2
2315,0
2316,0
2317,2
2318,0
2319,0
2320,0
2321,0
2322,0
2323,0
2324,0
2325,0
2326,1
2327,0
2328,0
2329,0
2330,1
2331,0
2332,0
2333,0
2334,0
2335,0
2336,2
2337,2
2338,2
2339,2
2340,0
2341,0
2342,2
2343,0
2344,0
2345,2
2346,0
2347,0
2348,0
2349,0
2350,0
2351,1
2352,0
2353,0
2354,0
2355,0
2356,0
2357,0
2358,0
2359,0
2360,0
2361,0
2362,2
2363,2
2364,2
2365,2
2366,2
2367,2
2368,2
2369,2
2370,0
2371,2
2372,2
2373,2
2374,0
2375,0
2376,0
2377,0
2378,0
2379,0
2380,0
2381,0
2382,0
2383,2
2384,2
2385,2
2386,2
2387,2
2388,2
2389,2
2390,2
2391,2
2392,2
2393,0
2394,0
2395,0
2396,0
2397,0
2398,0
2399,0
2400,0
2401,2
2402,2
2403,2
2404,0
2405,0
2406,0
2407,0
2408,0
2409,0
2410,0
2411,0
2412,0
2413,0
2414,0
2415,0
2416,0
2417,0
2418,0
2419,2
2420,0
2421,0
2422,0
2423,0
2424,0
2425,0
2426,1
2427,1
2428,1
2429,1
2430,1
2431,0
2432,0
2433,0
2434,0
2435,0
2436,0
2437,0
2438,2
2439,0
2440,0
2441,0
2442,0
2443,0
2444,0
2445,0
2446,2
2447,2
2448,0
2449,0
2450,0
2451,0
2452,0
2453,0
2454,0
2455,0
2456,0
2457,2
2458,0
2459,0
2460,0
2461,0
2462,2
2463,2
2464,2
2465,0
2466,0
2467,0
2468,0
2469,0
2470,0
2471,1
2472,1
2473,0
2474,0
2475,0
2476,0
2477,0
2478,0
2479,0
2480,2
2481,2
2482,2
2483,2
2484,2
2485,0
2486,0
2487,1
2488,1
2489,1
2490,1
2491,0
2492,1
2493,1
2494,1
2495,1
2496,0
2497,0
2498,1
2499,1
2500,1
2501,1
2502,1
2503,1
2504,1
2505,1
2506,1
2507,0
2508,2
2509,0
2510,1
2511,0
2512,0
2513,0
2514,0
2515,0
2516,0
2517,0
2518,0
2519,0
2520,0
2521,2
2522,2
2523,2
2524,2
2525,2
2526,2
2527,0
2528,0
2529,0
2530,0
2531,1
2532,1
2533,1
2534,1
2535,0
2536,0
2537,0
2538,0
2539,0
2540,0
2541,0
2542,0
2543,0
2544,2
2545,0
2546,0
2547,0
2548,2
2549,2
2550,0
2551,2
2552,2
2553,2
2554,2
2555,2
2556,2
2557,2
2558,2
2559,2
2560,2
2561,2
2562,2
2563,2
2564,0
2565,2
2566,2
2567,2
2568,2
2569,2
2570,2
2571,2
2572,2
2573,2
2574,2
2575,2
2576,2
2577,2
2578,0
2579,2
2580,2
2581,0
2582,0
2583,0
2584,1
2585,1
2586,1
2587,1
2588,0
2589,1
2590,1
2591,1
2592,0
2593,0
2594,0
2595,0
2596,2
2597,2
2598,0
2599,0
2600,0
2601,0
2602,0
2603,0
2604,0
2605,0
2606,2
2607,2
2608,0
2609,2
2610,2
2611,2
2612,0
2613,0
2614,0
2615,0
2616,2
2617,0
2618,0
2619,1
2620,0
2621,0
2622,0
2623,0
2624,0
2625,2
2626,0
2627,0
2628,0
2629,0
2630,0
2631,1
2632,1
2633,1
2634,1
2635,0
2636,1
2637,1
2638,1
2639,1
2640,1
2641,1
2642,1
2643,1
2644,1
2645,1
2646,0
2647,0
2648,0
2649,0
2650,0
2651,0
2652,0
2653,0
2654,0
2655,0
2656,0
2657,0
2658,0
2659,0
2660,0
2661,0
2662,0
2663,0
2664,0
2665,0
2666,0
2667,0
2668,0
2669,0
2670,0
2671,1
2672,1
2673,0
2674,1
2675,1
2676,0
2677,2
2678,0
2679,0
2680,0
2681,2
2682,2
2683,0
2684,0
2685,0
2686,0
2687,2
2688,2
2689,0
2690,0
2691,0
2692,0
2693,0
2694,0
2695,0
2696,0
2697,0
2698,0
2699,0
2700,0
2701,0
2702,0
2703,0
2704,0
2705,0
2706,0
2707,0
2708,0
2709,0
2710,0
2711,0
2712,0
2713,0
2714,0
2715,2
2716,2
2717,2
2718,2
2719,2
2720,2
2721,2
2722,2
2723,2
2724,0
2725,0
2726,2
2727,2
2728,2
2729,2
2730,2
2731,2
2732,2
2733,2
2734,2
2735,2
2736,0
2737,2
2738,2
2739,2
2740,2
2741,2
2742,2
2743,2
2744,2
2745,0
2746,0
2747,0
2748,2
2749,2
2750,2
2751,2
2752,0
2753,0
2754,0
2755,2
2756,2
2757,2
2758,2
2759,2
2760,2
2761,2
2762,2
2763,0
2764,0
2765,0
2766,1
2767,1
2768,0
2769,0
2770,2
2771,2
2772,1
2773,0
2774,0
2775,1
2776,1
2777,1
2778,0
2779,2
2780,0
2781,0
2782,1
2783,1
2784,1
2785,1
2786,0
2787,0
2788,0
2789,0
2790,1
2791,0
2792,0
2793,0
2794,0
2795,0
2796,2
2797,2
2798,2
2799,2
2800,2
2801,0
2802,0
2803,1
2804,1
2805,0
2806,0
2807,0
2808,0
2809,0
2810,0
2811,0
2812,0
2813,0
2814,0
2815,0
2816,0
2817,0
2818,2
2819,0
2820,0
2821,2
2822,2
2823,2
2824,0
2825,0
2826,0
2827,2
2828,0
2829,0
2830,0
2831,0
2832,0
2833,0
2834,1
2835,1
2836,1
2837,1
2838,1
2839,0
2840,0
2841,0
2842,0
2843,0
2844,0
2845,0
2846,0
2847,0
2848,0
2849,0
2850,0
2851,0
2852,0
2853,0
2854,0
2855,0
2856,0
2857,0
2858,0
2859,0
2860,0
2861,0
2862,0
2863,0
2864,0
2865,0
2866,0
2867,0
2868,0
2869,0
2870,0
2871,0
2872,0
2873,0
2874,0
2875,0
2876,0
2877,0
2878,0
2879,2
2880,0
2881,0
2882,2
2883,0
2884,0
2885,0
2886,2
2887,0
2888,0
2889,2
2890,2
2891,0
2892,0
2893,0
2894,1
2895,1
2896,1
2897,1
2898,0
2899,1
2900,1
2901,1
2902,1
2903,1
2904,1
2905,1
2906,1
2907,1
2908,0
2909,0
2910,0
2911,0
2912,0
2913,0
2914,0
2915,0
2916,1
2917,1
2918,1
2919,0
2920,0
2921,0
2922,0
2923,0
2924,0
2925,0
2926,0
2927,0
2928,2
2929,2
2930,2
2931,2
2932,2
2933,2
2934,2
2935,2
2936,2
2937,0
2938,2
2939,2
2940,2
2941,0
2942,0
2943,1
2944,1
2945,1
2946,1
2947,0
2948,0
2949,1
2950,0
2951,1
2952,1
2953,1
2954,0
2955,0
2956,0
2957,1
2958,1
2959,0
2960,1
2961,0
2962,1
2963,0
2964,0
2965,0
2966,0
2967,0
2968,0
2969,0
2970,0
2971,1
2972,1
2973,1
2974,1
2975,1
2976,0
2977,0
2978,0
2979,0
2980,2
2981,2
2982,2
2983,2
2984,2
2985,0
2986,0
2987,0
2988,0
2989,0
2990,0
2991,0
2992,0
2993,0
2994,0
2995,2
2996,2
